userName,score,at,content
Mr. U,5,2025-12-11 10:49:11,"Pelayanan cepat, terimaksih PLN mobile 🙏👍"
dari kita,5,2025-12-11 10:48:43,aplikasinya sangat bermanfaat bagi masyarakat dan sangat mudah diakses
Ibolong La Mading,5,2025-12-11 10:47:33,sangat membantu skali
iri saepudin,5,2025-12-11 10:46:19,PLN TERBAIKK SANGAT MEMBANTU PROSES PASANG BARU SAYAA TERIMAKASIN PLN
Muhammad Zulhi,5,2025-12-11 10:45:23,Terbaik dan mempermudah .mantap
Hafid Mahzdan,5,2025-12-11 10:44:36,Sangat membantu kak👍
veralisa masterin,5,2025-12-11 10:42:27,Sangat bagus.. lebih maju lagi
Isniyanto Isnin,5,2025-12-11 10:41:54,PLN selalu jaya
Warijan Gaeng,5,2025-12-11 10:41:17,sangat baik
Nana Ogin1504,5,2025-12-11 10:40:44,PLN mobile mantaf
Choeron Abdul Basit,5,2025-12-11 10:40:36,mantap
Tuti Purwanto,5,2025-12-11 10:39:45,TERIMA KASIH PLN
STOK EFB EPIC,5,2025-12-11 10:39:23,"PLN Sangat membantu disaat masalah terganggu, respon cepat dan cepat menangani masalah"
Beta Mundi Pangestuti,5,2025-12-11 10:39:21,lebih cepat
zheni putrysulsy,5,2025-12-11 10:38:18,aplikasi pln mobile seperti kekasih gak pingin jauh2 darinya🥰
Atallah Maulidin Niesta Fatah,5,2025-12-11 10:37:46,lebih mudah
Wardani,5,2025-12-11 10:37:42,aplikasi yang sangat membantu..dan respon pun sangat cepat..mantap
Anglin Patrisia Matoneng,5,2025-12-11 10:36:47,aplikasi ini sangat membantu
Mas Adek Adie Adie,5,2025-12-11 10:36:26,dengan adanya pln mobile keluhan pelanggan bisa teratasi..
Charles Lengkong,5,2025-12-11 10:35:28,mantap PLN.. saya senang sekali menggunakan aplikasi ini karena mudah untuk akses pembayaran tagihan
Saiful Anwar,5,2025-12-11 10:35:00,Aplikasi ini membantu..pelayanan cepat terbaik pelanggan puas
Muhamad gungun Ansori,5,2025-12-11 10:34:00,mantap pisan
KEMAS,5,2025-12-11 10:33:17,bagus🤩
Rahmat Chucenk,5,2025-12-11 10:31:04,aplikasi PLN mobile mantap 👍
Miftah Algafari,5,2025-12-11 10:29:10,mantap aplikasinya
Sugeng Prayitno,5,2025-12-11 10:28:26,mempermudahkan
agus mulyana,5,2025-12-11 10:28:15,pln mobile aplikasi yg memudahkan pelanggan👌👌👌
adaam syah,5,2025-12-11 10:28:04,okkkkkk
Jaimun Farid,5,2025-12-11 10:26:03,fitur pln mobile lengkap
ahmad angga,5,2025-12-11 10:26:01,mantap
Lukman Ardiansyah,5,2025-12-11 10:25:20,"Alhamdulillah onok aplikasi PLN mobile urusan listrik dadi lebih gampang ,, lapor gangguan yo enak ,, Ngajukan pemasang baru Yo cepet .. tambah daya daftar e sediluk lek teko PLN mobile .. update info tambah daya Yo onok ,, lengkap wes .. sukses terus PLN ... Salam hpl 0 hari 👍👍👍💪💪💪💪 jaya terus PLN"
Nur hidayat,5,2025-12-11 10:24:22,jas aplikasinya.
Mahjong Ways,5,2025-12-11 10:24:15,mantap aplikasinya.sangat membantu.pelaporan dan pengaduan dipermudah.
Moch Setya ardianto,5,2025-12-11 10:23:50,PELAYANAN TERBAIK.......
Mochamad Ramdan,5,2025-12-11 10:23:43,pelayanan pln mobile sangat bagus..semoga dapat dipertahankan
sok asik,5,2025-12-11 10:23:06,trimakasih PLN mobile memudahkan sya buat pengajuan pasang kWh baru
Junita Filinsya,5,2025-12-11 10:22:24,sangat Membantu PLN tentena
Eviana Dewi,5,2025-12-11 10:22:10,sangatsangat memuaskan. dan sabgat membantu. tingkatkan terus
Dadang Supriatna,5,2025-12-11 10:21:50,good
Ibnu Hasan,5,2025-12-11 10:21:47,PLN mobile sangat membantu untuk melakukan pembayaran dan swacam.
AnntonRotan,5,2025-12-11 10:21:47,ayo pakai PLN mobile. semua urusan kelistrikan dipermudah.. mantap aplikasinya
Arhy Adi,5,2025-12-11 10:21:35,Dengan adanya PLN Mobile kini masyarakat makin mudah melapor gangguan dan responnya sangat cepat makasih PLN mobile.👍👍
Khamidinal Didin,5,2025-12-11 10:21:33,pemasangan mudah
akil sumule,5,2025-12-11 10:21:31,bagus🥰
Abbas Abdul,5,2025-12-11 10:21:20,Dengan Aplikasi PLN mobile dpt mengetahui sampai tahap apa pengaduan gangguan listrik saya
Mr. L,5,2025-12-11 10:21:19,mantap
Refna Refnalainde,5,2025-12-11 10:20:58,Mantap PLN Tentena
Reno Adi,5,2025-12-11 10:20:50,Alhamdulillah ya allah
Fandi Super,5,2025-12-11 10:19:54,apk yang bkin mudah semua akses untuk pb dan pd
Tia Mutia,5,2025-12-11 10:18:38,"jadi gampang buat bayar tagihan listrik, beli token juga bisa lewat aplikasi ini. sabagat membantu sih"
Pian Paun,5,2025-12-11 10:18:10,PLN mobile memang luar biasa PLN mobile sungguh sungguh terbaik..
Khoirul Anam,5,2025-12-11 10:17:41,pln mobil selalu yang terbaik
Laurentius Kiop,5,2025-12-11 10:17:34,admin transaksi pembelian token listrik Murah dan pilihan token minimal Rp. 5000. mantap. transaksi lebih mudah
Anto Eri,5,2025-12-11 10:16:19,"bayar listrik alhamdulillah dapat poin, dan bisa di tukar ke voucher terima kasih"
Abal Aba,5,2025-12-11 10:15:43,mantap aplikasinya.sangat membantu.pelaporan dan pengaduan dipermudah.
Muhamad Alifahlevi,5,2025-12-11 10:15:41,"Bagus, Mantap, Buka terus"
Kia Febryanto,5,2025-12-11 10:14:55,Aplikasi nya sangat membantu
Ahmad Kamaluddin,5,2025-12-11 10:14:26,PLN mobile terbaik 👍
Online Budget,5,2025-12-11 10:14:15,keren memudahkan
Manja Danova Putri,5,2025-12-11 10:14:05,"Sangat puas dengan layanan di aplikasi ini. Proses pengaduan cepat direspons dan solusi langsung diberikan. Terima kasih, PLN Mobile."
Mario Super,5,2025-12-11 10:14:04,aplikasi yg sangat membantu kami
Fadli Hutagalung,5,2025-12-11 10:13:54,sangat membantu untuk kami bagi driver
Ardi Amril,5,2025-12-11 10:13:43,"Pembelian token cepat dan mudah, transaksi selalu lancar. Solusi praktis dari rumah"
Agung Setya,5,2025-12-11 10:13:13,makin mantap pelayanan nya. gercep sekali setiap ada gangguan terimakasih..
Reto Mamonto,5,2025-12-11 10:13:10,PLN up3 kotamobagu Terbaik
ARY JOSHUA,5,2025-12-11 10:13:03,Apk nya sangat membantu
Rian Syaputra,5,2025-12-11 10:12:41,aplikasi yang sengat membantu bagi warga yang jauh dari akses untuk menuju ke pln
